Titre,Score
Grand Theft Auto V,97
Perfect Dark,97
Mass Effect 2,94
The Elder Scrolls IV : Oblivion,94
Gears of War 2,94
Minecraft,93
Celeste,92
Dragon Quest XI S : Echoes of an Elusive Age – Definitive Edition,92
Undertale,92
Banjo-Kazooie,92
Forza Horizon 4,92
Crysis 3,91
Crusader Kings III,91
Crysis,91
Peggle,91
Microsoft Flight Simulator,91
Dragon Age : Origins,91
Ori and the Will of the Wisps,90
Bejeweled 2,90
Monster Hunter : World,90
Nier : Automata BECOME AS GODS Edition,90
Dead Space 2,90
Banjo-Tooie,90
Dragon Age : Inquisition,89
Dead Cells,89
Battlefield 1,89
Titanfall 2,89
Titanfall,89
The Elder Scrolls III : Morrowind,89
Fable II,89
Slay the Spire,89
Pillars of Eternity II : Deadfire,88
What Remains of Edith Finch,88
Tetris Effect : Connected,88
Ori and the Blind Forest : Definitive Edition,88
Dishonored 2,88
Injustice 2,88
Battlefield 3,88
Halo : The Master Chief Collection,88
Enter the Gungeon,87
DOOM Eternal,87
F1 2019,87
Fallout,87
Fallout 4,87
Final Fantasy VII,87
Psychonauts,87
Europa Universalis IV,87
Battlefield : Bad Company 2,87
Battlefield : Bad Company,87
Batman : Arkham Knight,87
Killer Instinct : Definitive Edition,86
Gears of War 3,86
Desperados III,86
Halo : Spartan Strike,86
Dead Space 3,86
Dead Space,86
Resident Evil 7 : Biohazard,86
Crysis 2,86
Dragon Age 2,86
CrossCode,86
Mass Effect,86
Comanche,86
The Messenger,86
Forza Motorsport 7,86
Fight Night Champion,86
Monster Train,86
Battlefield 4,85
Yakuza Kiwami 2,85
Pillars of Eternity : Complete Edition,85
Outer Wilds,85
Deep Rock Galactic,85
Darkest Dungeon,85
DOOM 3,85
Supraland,85
Hollow Knight : Voidheart Edition,85
Night in the Woods,85
Thronebreaker : The Witcher Tales,84
Fallout : New Vegas,84
Yakuza : Like a Dragon,84
Halo 5 : Guardians,84
Yakuza 0,84
Fallout 3,84
Gears of War,84
The Touryst,84
Day of the Tentacle Remastered,84
Frostpunk,84
SoulCalibur VI,84
Age of Empires II – Definitive Edition,84
Subnautica,84
Gears of War 4,84
Viva Piñata,84
Rare Replay,84
Gears 5,84
FIFA 19,83
The Elder Scrolls Online,83
Killer Queen Black,83
Battlefield 1943,83
Black,83
Pandemic : The Board Game,83
Kingdom Hearts III,83
Katana ZERO,83
Yakuza 6 : The Song of Life,83
Tales of Vesperia: Definitive Edition,83
Among Us,83
Final Fantasy XII : The Zodiac Age,83
DOOM (1993),83
Two Point Hospital,83
Terraria,83
Ape Out,83
Hypnospace Outlaw,83
Prison Architect,83
Guacamelee! 2,83
Octopath Traveler,83
Fallout Tactics,82
